
辽宁本地频道,#genre#
辽宁卫视,http://39.134.61.219/PLTV/88888888/224/3221226461/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221227011/index.m3u8

辽宁经济,http://39.134.61.219/PLTV/88888888/224/3221226504/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226869/index.m3u8

辽宁生活,http://39.134.61.219/PLTV/88888888/224/3221226489/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226918/index.m3u8

辽宁体育,http://39.134.61.219/PLTV/88888888/224/3221226508/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226916/index.m3u8

辽宁影视剧,http://39.134.61.219/PLTV/88888888/224/3221226512/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226861/index.m3u8

辽宁都市,http://39.134.61.219/PLTV/88888888/224/3221226524/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226914/index.m3u8

辽宁公共,http://39.134.61.219/PLTV/88888888/224/3221226528/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226922/index.m3u8

辽宁青少年,http://39.134.61.219/PLTV/88888888/224/3221226473/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226863/index.m3u8

辽宁北方,http://39.134.61.219/PLTV/88888888/224/3221226515/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226865/index.m3u8

沈阳新闻,http://39.134.61.219/PLTV/88888888/224/3221226593/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226924/index.m3u8

辽宁移动,http://39.134.61.219/PLTV/88888888/224/3221226717/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226867/index.m3u8

